year,period,period_type,period_number,period_order,crop_group,crop_subtype,is_aggregate,region,province,volume_mt,area_ha
1990,Quarter 1,quarter,1,1,Corn,White,0,MIMAROPA,Oriental Mindoro,26.0,80.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,MIMAROPA,Oriental Mindoro,598.0,1160.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,MIMAROPA,Oriental Mindoro,22691.0,8390.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,MIMAROPA,Oriental Mindoro,6262.0,3290.0
1990,Quarter 1,quarter,1,1,Corn,White,0,MIMAROPA,Palawan,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,MIMAROPA,Palawan,9324.0,4420.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,MIMAROPA,Palawan,5610.0,2720.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,MIMAROPA,Palawan,2340.0,1600.0
1990,Quarter 1,quarter,1,1,Corn,White,0,MIMAROPA,Puerto Princesa,,
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,MIMAROPA,Puerto Princesa,,
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,MIMAROPA,Puerto Princesa,,
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,MIMAROPA,Puerto Princesa,,
1990,Quarter 1,quarter,1,1,Corn,White,0,MIMAROPA,Romblon,24.0,80.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,MIMAROPA,Romblon,4114.0,4440.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,MIMAROPA,Romblon,3610.0,2380.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,MIMAROPA,Romblon,2510.0,3230.0
1990,Quarter 1,quarter,1,1,Corn,White,0,NIR,Bacolod City,,
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,NIR,Bacolod City,,
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,NIR,Bacolod City,,
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,NIR,Bacolod City,,
1990,Quarter 1,quarter,1,1,Corn,White,0,NIR,Negros Occidental,,
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,NIR,Negros Occidental,,
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,NIR,Negros Occidental,,
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,NIR,Negros Occidental,,
1990,Quarter 1,quarter,1,1,Corn,White,0,NIR,Negros Oriental,,
